'No','Grape','Winery','Appelation','Name','Year','Price','Score','Cases'
1,'Zinfandel','Robert Biale','St. Helena','Old Kraft Vineyard',2008,44,93,275
2,'Zinfandel','Chiarello Family','Napa Valley','Giana',2008,35,93,480
3,'Zinfandel','Robert Biale','Napa Valley','Black Chicken',2008,40,91,2700
4,'Zinfandel','Robert Biale','Napa Valley','Napa Ranches',2008,38,89,525
5,'Zinfandel','Robert Biale','St. Helena','Varozza Vineyard',2008,44,88,275
6,'Zinfandel','Pedroncelli','Dry Creek Valley','Mother Clone',2008,15,88,6000
7,'Zinfandel','Rutherford Ranch','Napa Valley','Zinfandel',2007,18,87,1552
8,'Sauvignon Blanc','Altamura','Napa Valley','Sauvignon Blanc',2007,48,92,500
9,'Sauvignon Blanc','Capture','Sonoma County','Les Pionniers',2009,36,92,360
10,'Sauvignon Blanc','Brander','Santa Ynez Valley','Cuvee Nicolas',2009,25,91,377
11,'Sauvignon Blanc','Capture','California','Tradition',2009,30,91,875
12,'Sauvignon Blanc','John Anthony','Carneros','Church Vineyard',2009,28,91,354
13,'Sauvignon Blanc','Peter Michael','Knights Valley','L''Apres-Midi',2008,48,91,1260
14,'Sauvignon Blanc','Grey Stack','Bennett Valley','Rosemary''s Block Dry Stack Vineyard',2009,28,90,700
15,'Sauvignon Blanc','Round Pond Estate','Rutherford','Sauvignon Blanc',2009,26,90,714
16,'Sauvignon Blanc','Beckmen','Santa Ynez Valley','Sauvignon Blanc',2009,16,89,1500
17,'Sauvignon Blanc','Beltane Ranch','Sonoma Valley','Sauvignon Blanc',2009,23,89,413
18,'Sauvignon Blanc','Brander','Santa Ynez Valley','Mesa Verde Vineyard',2009,22,89,380
19,'Sauvignon Blanc','Cade','Napa Valley','Sauvignon Blanc',2008,26,89,5200
20,'Sauvignon Blanc','Jericho Canyon','Napa Valley','Sauvignon Blanc',2009,25,89,370
21,'Sauvignon Blanc','John Anthony','Napa Valley','Sauvignon Blanc',2009,19,89,3098
22,'Sauvignon Blanc','Kenzo','Napa Valley','Asatsuyu',2008,60,89,600
23,'Sauvignon Blanc','Madrigal','Napa Valley','Estate',2009,25,89,200
24,'Sauvignon Blanc','Joseph Phelps','St. Helena','Sauvignon Blanc',2008,32,89,2000
25,'Sauvignon Blanc','Sbragia Family','Dry Creek Valley','Home Ranch',2009,20,89,1698
26,'Sauvignon Blanc','Selene','Carneros','Hyde Vineyards',2009,27,89,750
